Style   ,Description    ,Clr,Color     ,Gender,Item Group  ,1/at once,   WIP ETA,   TOT ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,    S ,    M ,    L ,   XL 
52485,CLSC MID LANAI ,542,PURPLE    ,WOMENS,WOMENS CLASS,1,          ,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52486,CLSC HI JARDIN ,1,BLACK     ,WOMENS,WOMENS CLASS,1,          ,23,0,0,0,0,0,0,0,0,0,0,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52487,CLSC HI JARDIN ,303,OLIVE     ,WOMENS,WOMENS CLASS,1,          ,57,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52488,CLSC HI JARDIN ,400,BLUE      ,WOMENS,WOMENS CLASS,1,          ,28,0,0,0,0,0,15,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52489,CLSC MID JARDIN,1,BLACK     ,WOMENS,WOMENS CLASS,1,          ,97,0,0,0,0,0,19,57,0,0,15,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52490,CLSC MID JARDIN,303,OLIVE     ,WOMENS,WOMENS CLASS,1,          ,61,0,0,0,0,0,26,3,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52491,CLSC MID JARDIN,400,BLUE      ,WOMENS,WOMENS CLASS,1,          ,15,0,0,0,0,0,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52500,MCKINLEY       ,542,PURPLE    ,KIDS  ,KIDS OUTDOOR,1,          ,490,63,53,75,78,57,94,0,0,0,1,2,28,39,0,0,0,0,0,0,0,0,0,0,0,0,0
52501,MCKINLEY       ,1,BLACK     ,KIDS  ,KIDS OUTDOOR,1,          ,326,19,29,44,37,33,37,0,0,1,11,26,38,51,0,0,0,0,0,0,0,0,0,0,0,0,0
52502,CLSC TUSCANY   ,1,BLACK     ,KIDS  ,KIDS CLASSIC,1,          ,7,0,1,0,0,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52503,CLSC TUSCANY   ,441,AQUA      ,KIDS  ,KIDS CLASSIC,1,          ,36,0,0,0,0,0,0,0,1,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52504,CLSC TUSCANY   ,531,VIOLET    ,KIDS  ,KIDS CLASSIC,1,          ,192,0,0,0,0,44,63,28,53,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52505,CLSC TUSCANY   ,650,PINK      ,KIDS  ,KIDS CLASSIC,1,          ,33,0,0,0,0,2,30,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
52506,CLASSIC DAISY L,542,PURPLE    ,KIDS  ,KIDS CLASSIC,1,          ,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52507,CLASSIC DAISY L,400,BLUE      ,KIDS  ,KIDS CLASSIC,1,          ,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52508,CLASSIC DAISY L,650,PINK      ,KIDS  ,KIDS CLASSIC,1,          ,131,0,0,0,51,53,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52510,CLSC HI SPIDERS,1,BLACK     ,KIDS  ,KIDS CLASSIC,1,          ,158,0,1,3,20,6,44,62,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52511,CLSC HI SPIDERS,20,GRAY      ,KIDS  ,KIDS CLASSIC,1,          ,144,0,0,1,0,13,41,34,48,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52522,RUE            ,542,PURPLE    ,KIDS  ,KIDS OUTDOOR,1,          ,702,88,87,94,73,72,67,0,0,32,41,43,48,57,0,0,0,0,0,0,0,0,0,0,0,0,0
